"","created_at","screen_name","text","content","sentiment"
"1",2020-11-09,"MFAofArmenia"," We strongly condemn this assault towards # Russian  Armed  Forces by the # Azerbaijani armed forces w/in sovereign territory of # Armenia ; are convinced that use of force against  Armed  Forces of  Russian  Federation will receive an adequate response.
","aze",0
"2",2020-11-09,"MFAofArmenia"," Tragic incident of downing of # Russian # Mi24 helicopter occurred far away from # Nagorno Karabakh conflict zone, where no military clashes have been recorded during this period.  From this perspective claims of # Azerbaijani side ; attempts to justify it are false ; groundless. ","aze",-4
"3",2020-11-09,"MFAofArmenia"," As a result of # Azerbaijan aggression ; deliberate/indiscriminate targeting of civilian objects, over 100,000 civilians have been displaced from their homes, over 70% of the whole population of # Artsakh/# Karabakh.
 A part of them are in the republic, the other part- in # Armenia.","aze",-1
"4",2020-11-09,"MFAofArmenia"," Prime  Minister of # Armenia  ""  Battles for # Shushi are ongoing.""","arm",0
"5",2020-11-09,"MFAofArmenia"," This statement by  Ilham  Aliyev full of hatred, voiced out amid continuous targeting of civilian infrastructure of # Artsakh by # Azerbaijani armed forces under his command, once again proves that under no circumstances people of  Artsakh can be put w/in # Azerbaijans jurisdiction. ","arm",1
"6",2020-11-09,"MFAofArmenia"," Spox  Anna  "" Realizing that sooner or later he will bear responsibility for # War Crimes he has committed,  Ilham  Aliyev made desperate attempt to deny truth, by labelling it #fakenews.
",NA,NA
"7",2020-11-08,"MFAofArmenia"," The  Ombudsman prepared 3rd classified report on inhuman treatment of  P O Ws and dead bodies of # Armenia'n servicemen by # Azerbaijan.  He stressed that although previous 2 reports provided sufficient evidence of  A Z E atrocities, the intl community didn't condemn and properly respond.","arm",-3
"8",2020-11-08,"MFAofArmenia"," Tonight # Stepanakert was under heavy strikes/shelling by # Azerbaijan, causing large destructions to civilian/residential buildings.
 Azerbaijan, # Turkey ; #terrorists continue # War Crimes against # Artsakh/# Karabakh people.
 Should we still have any expectations from intl community? ","aze",-1
"9",2020-11-06,"MFAofArmenia"," Continued exchange w/   Briefed abt situation in # Nagorno Karabakh.  Today civilians in # Stepanakert ; # Shushi were again under heavy shelling.  Foreign terrorists brought over by # Turkey for # Azerbaijan fight agst # Artsakh.  Much appreciate support;action of our friends","aze",0
"10",2020-11-06,"MFAofArmenia","# Artsakh's cultural cradle # Shushi stands strong against # Azerbaijan's attacks.  The precious environment that the people treasured in their #hometown is being barbarically targeted by the aggressor, yet surely, # Artsakh's strong desire for #peace will prevail over any threat. ","arm",0
