"","created_at","screen_name","text"
"1",2020-11-09,"MFAofArmenia","We strongly condemn this assault towards #Russia’n Armed Forces by the #Azerbaijan’i armed forces w/in sovereign territory of #Armenia &amp; are convinced that use of force against Armed Forces of Russian Federation will receive an adequate response.
https://t.co/645Gy5LohA"
"2",2020-11-09,"MFAofArmenia","Tragic incident of downing of #Russia’n #Mi24 helicopter occurred far away from #NagornoKarabakh conflict zone, where no military clashes have been recorded during this period. From this perspective claims of #Azerbaijan’i side &amp; attempts to justify it are false &amp; groundless. https://t.co/uClCVLYJZR"
"3",2020-11-09,"MFAofArmenia","As a result of #Azerbaijan aggression &amp; deliberate/indiscriminate targeting of civilian objects, over 100,000 civilians have been displaced from their homes, over 70% of the whole population of #Artsakh/#Karabakh.
A part of them are in the republic, the other part- in #Armenia."
"4",2020-11-09,"MFAofArmenia","Prime Minister of #Armenia @NikolPashinyan: "" Battles for #Shushi are ongoing."""
"5",2020-11-09,"MFAofArmenia","This statement by Ilham Aliyev full of hatred, voiced out amid continuous targeting of civilian infrastructure of #Artsakh by #Azerbaijani armed forces under his command, once again proves that under no circumstances people of Artsakh can be put w/in #Azerbaijan’s jurisdiction. https://t.co/M2CMFkGRhH"
"6",2020-11-09,"MFAofArmenia","Spox Anna @naghdalyan: ""Realizing that sooner or later he will bear responsibility for #WarCrimes he has committed, Ilham Aliyev made desperate attempt to deny truth, by labelling it “#fakenews.”
https://t.co/33nQUVKT6V"
"7",2020-11-08,"MFAofArmenia","The Ombudsman prepared 3rd classified report on inhuman treatment of POWs and dead bodies of #Armenia'n servicemen by #Azerbaijan. He stressed that although previous 2 reports provided sufficient evidence of AZE atrocities, the intl community didn't condemn and properly respond."
"8",2020-11-08,"MFAofArmenia","Tonight #Stepanakert was under heavy strikes/shelling by #Azerbaijan, causing large destructions to civilian/residential buildings.
Azerbaijan, #Turkey &amp; #terrorists continue #WarCrimes against #Artsakh/#Karabakh people.
Should we still have any expectations from intl community? https://t.co/NEQwklt4Ay"
"9",2020-11-06,"MFAofArmenia","Continued exchange w/ @FP_Champagne. Briefed abt situation in #NagornoKarabakh. Today civilians in #Stepanakert &amp; #Shushi were again under heavy shelling. Foreign terrorists brought over by #Turkey for #Azerbaijan fight agst #Artsakh. Much appreciate support&amp;action of our friends"
"10",2020-11-06,"MFAofArmenia","#Artsakh's cultural cradle #Shushi stands strong against #Azerbaijan's attacks. The precious environment that the people treasured in their #hometown is being barbarically targeted by the aggressor, yet surely, #Artsakh's strong desire for #peace will prevail over any threat. https://t.co/6Cx6osKvJ3"
"11",2020-11-06,"MFAofArmenia","#Azerbaijan shelled the archaeological camp near the #Tigranakert historical-cultural reserve. 
Azerbaijan deliberately targets monuments of cultural heritage. Before AZE twice struck the Holy Savior Ghazanchetsots Cathedral in #Shushi.
#StopAzerbaijaniAggression
#DontBeBlind https://t.co/wCNW6caUiG"
"12",2020-11-06,"MFAofArmenia","#Azerbaijan bombarded #Stepanakert with cluster munitions, deliberately targeting residential buildings, civil and public infrastructure across the city. Three civilians were killed.
#Artsakh #ArtsakhStrong https://t.co/GGtZHZelz4"
"13",2020-11-06,"MFAofArmenia","@ArmenS_Papikyan: We have continuously raised the issue of foreign terrorist fighters and jihadist groups, which were recruited by Turkey and transferred to Azerbaijan as early as in August, to be used in the planned aggression against the Republic of Artsakh and its people. https://t.co/yrueBflB1g"
"14",2020-11-05,"MFAofArmenia","FM of #Armenia @ZMnatsakanyan: “One of the most important issues is introduction of #verification mechanisms, that will enable us to maintain #ceasefire more effectively. We are working in this regard &amp; involvement, determination &amp; work of @OSCE Co-Chairs remain very important.” https://t.co/tP4cTV4R8e"
"15",2020-11-05,"MFAofArmenia","FM @ZMnatsakanyan: “We will not stop working w/@OSCE #Minsk Group Co-Chairs to establish #ceasefire, based on 4 points expressed in joint statement of October 10 &amp; reiterated in other meetings as well. We will continue to work consistently in this regard.” https://t.co/XCv1t5SR0t"
"16",2020-11-05,"MFAofArmenia","FM @ZMnatsakanyan in briefing at @armparliament: “@OSCE MGCC leaders contributed to achieving #ceasefire thrice. #Armenia ensured its approval thrice. However, #Azerbaijan was unable to be responsible for its agreements &amp; has violated them, probably being directed by #Turkey.” https://t.co/hPzP6SYdCi"
"17",2020-11-05,"MFAofArmenia","According to new decision of @armgov,upon entering #Armenia, PCR negative test of #COVID19 taken w/in previous 72 hrs should be submitted. If corresponding symptoms are detected as result of examination upon arrival person will be hospitalized.

More info⬇️https://t.co/2wo8MQkGhG"
"18",2020-11-05,"MFAofArmenia","80 local &amp; foreign journalists trapped in Stepanakert, in Nagorno-Karabakh! They cannot reach #Armenia without risking their lives under fire from Azeri forces. RSF calls on the @UN, @coe and #Azerbaijan to do everything possible to allow the evacuation of civilians. https://t.co/NU77ngHWIS"
"19",2020-11-05,"MFAofArmenia","Letter of the Permanent Representative of #Armenia🇦🇲 Mher Margaryan addressed to UN Secretary-General Antonio Guterres regarding ongoing aggression by #Azerbaijan against the people of #Artsakh (#NagornoKarabakh), to be issued as official document of #UNGA75 and #SecurityCouncil https://t.co/fJcgOp57Rh"
"20",2020-11-05,"MFAofArmenia","“The leadership of Azerbaijan, who has been on record for taking pride in high-precision capabilities of their modern weaponry, is directly responsible for the violations of #IHL in #NagornoKarabakh &amp; deliberate attacks on civilian objects”. #Armenia🇦🇲 at #UNGA75 Sixth Committee https://t.co/nTNSxQimrn"
