"","created_at","screen_name","text"
"1",2020-11-10,"AzerbaijanMFA","Had a phone conversation with FM of the Russian Federation Sergey Lavrov. Thanked #Russia for its continued efforts to ensure peace in the region &amp; stressed the importance of trilateral statement signed on Nov 10, which marked a new stage in resolving the long-running conflict. https://t.co/sEmTzzja5X"
"2",2020-11-10,"AzerbaijanMFA","Statement by the President of the Republic of Azerbaijan, the Prime Minister of the Republic of Armenia and the President of the Russian Federation
⬇️⬇️⬇️
https://t.co/6TgxoxvOzu"
"3",2020-11-10,"AzerbaijanMFA","The victories we have achieved forced Armenia to return Agdam, Lachin and Kelbedjar through political means."
"4",2020-11-10,"AzerbaijanMFA","This statement has historic significance. This statement constitutes Armenia’s capitulation. This statement puts an end to the years-long occupation. This statement is our Glorious Victory!"
"5",2020-11-10,"AzerbaijanMFA","This is a historic day. An end is being put to the Armenia-Azerbaijan Nagorno-Karabakh conflict."
"6",2020-11-09,"AzerbaijanMFA","Statement of the Ministry of Foreign Affairs of the Republic of Azerbaijan
⬇️⬇️⬇️
https://t.co/8Kxn6HqMgF"
"7",2020-11-09,"AzerbaijanMFA","The Embassy of Israel congratulates the people of Azerbaijan on State Flag Day. https://t.co/qANZRNOwxW"
"8",2020-11-09,"AzerbaijanMFA","I warmly and sincerely congratulate 🇦🇿 on the occasion of the #NationalFlagDay ! 
🇺🇦 understands very well the feelings of the brotherly Azerbaijani people in upholding  its sovereignty and territorial integrity.
@AzerbaijanMFA
#Ukraine #AzərbaycanBayrağı #9Noyabr https://t.co/y9Lqqw9tMy"
"9",2020-11-09,"AzerbaijanMFA","Congratulatory message of the Secretary General @anreyev  of the @TurkicCouncil on the occasion of 9th of November “#StateFlagDay of the Republic of #Azerbaijan”; https://t.co/YD283smVtF 
#BizBirlikdəDahaGüclüyük!
#BizBirlikteDahaGüçlüyüz!
#TogetherWeAreStronger! https://t.co/JuejK6iGU4"
"10",2020-11-08,"AzerbaijanMFA","Today marks the 102nd anniversary of the #NationalFlag of #Azerbaijan!

Victories of Glorious Army of 🇦🇿 under the leadership of Commander-in-chief make this occasion more special for us! We look forward to see our flag on all liberated territories of 🇦🇿!

Happy #NationalFlagDay! https://t.co/VxfT1lYxIt"
"11",2020-11-08,"AzerbaijanMFA","8 November will eternally go down in history as Glorious Victory Day. We have returned to Shusha. Shusha is ours! Karabakh is Azerbaijan! Azerbaijan, I felicitate you!"
"12",2020-11-07,"AzerbaijanMFA","We resolutely condemn the attacks and life threats by the radical Armenian forces against Azerbaijan's diplomats, as well as the members of the local Azerbaijani communities in foreign countries.
⬇️⬇️⬇️
https://t.co/VZKETEKlpD"
"13",2020-11-07,"AzerbaijanMFA","#Armenia, #violating the existing humanitarian #ceasefire, continues its criminal activities, #targeting the #Azerbaijan|i #civilian population, disregarding international humanitarian law and its obligations. #WarCrimes 
⬇️⬇️⬇️
https://t.co/51V5LVAI8m"
"14",2020-11-07,"AzerbaijanMFA","Shahmali Rahimov (16) killed after artillery strikes by #Armenia's occupation forces hit his home in Yeni Ayridja village of #Barda district of #Azerbaijan.

#StopArmenianAggression
#StopAttackingCivilians"
"15",2020-11-06,"AzerbaijanMFA","URGENT! Gazyan, Gaynag, Gapanli and Husanli villages of the #Tartar region 🇦🇿 are under intensive artillery shelling by the Armed Forces of #Armenia.

#StopArmenianAggression 
#StopKillingCivilians"
"16",2020-11-05,"AzerbaijanMFA","In a blatant violation of international law, including international humanitarian law during almost 30 years, #Armenia commits armed #aggression against #Azerbaijan.

Press Release of the Press Service Department of the MFA of of Azerbaijan https://t.co/1WqGOZzV72"
"17",2020-11-04,"AzerbaijanMFA","Victorious Armed Forces of Azerbaijan have liberated Mirek and Kavdar villages of Jabrayil, Meshediismayilli and Shefibeyli villages of Zengilan, Basharat, Garakishiler and Garajalli villages of Gubadli. Long live Azerbaijan’s Armed Forces! Karabakh is Azerbaijan!"
"18",2020-11-04,"AzerbaijanMFA","Statement by H.E. Mr. Jeyhun Bayramov, Minister of Foreign Affairs of the Republic of #Azerbaijan at the 130th session of the Committee of Ministers of the Council of Europe @coe
⬇️⬇️⬇️
https://t.co/hnXFqq4klB"
"19",2020-11-04,"AzerbaijanMFA","FM Jeyhun Bayramov spoke at Committee of Ministers meeting of @coe. He stressed new military aggression by #Armenia, including shelling civilians &amp; causing serious casualties, reminded demands of #UNSC &amp; #PACE resolutions calling for restoration of territorial integrity of 🇦🇿."
"20",2020-11-04,"AzerbaijanMFA","URGENT❗️ #Tartar city center and Shikharkh settlement of #Azerbaijan are under intensive artillery fire by the Armed Forces of #Armenia 

#StopArmenianAggression
#StopAttackingCivilans
#WarCrimes"
"21",2020-11-04,"AzerbaijanMFA","We highly appreciate the statement made by the Supreme Leader of the Islamic Republic of #Iran Ayatollah Sayyid Ali Khamenei on the #Armenia-#Azerbaijan conflict and the support given to the territorial integrity of Azerbaijan.

Read the full press release
https://t.co/bFF5gZx2Ly"
"22",2020-11-03,"AzerbaijanMFA","Support by the Cooperation Council of Turkic Speaking States is an embodiment of unity and solidarity among the Turkic speaking countries."
"23",2020-11-03,"AzerbaijanMFA","The Non-Aligned Movement has also shown generous support to Azerbaijan. This is a sign of an attitude towards Azerbaijan by the countries - members of those organizations."
"24",2020-11-03,"AzerbaijanMFA","We believe that the conflict’s military resolution must enter a political phase and we are ready for that. I hope that Armenia’s bitter defeat will compel them to give it a serious thought and make the decision. However, we see the contrary."
"25",2020-11-03,"AzerbaijanMFA","We strongly condemn the deadly assault at #Kabul University. Our deep condolences go to the families of innocent victims, as well as People &amp; Government of🇦🇫. Wishing swift recovery to all injured. #Azerbaijan’s support &amp; solidarity is with friendly #Afghanistan.
@mfa_afghanistan"
"26",2020-11-03,"AzerbaijanMFA","Our heartfelt condolences to the families of those killed as a result of terrible attacks in #Vienna. Wishing speedy recovery to all injured. #Azerbaijan as a country suffering from terrorism condemns all forms and manifestations of #terrorism.

@MFA_Austria"
"27",2020-11-03,"AzerbaijanMFA","❗️Information on #Armenia employing child soldiers in the area of ongoing armed hostilities and using kindergartens &amp; school buildings for military purposes in grave violation of international humanitarian law, has been published as #UNGA &amp; #UNSC documents.

@AzmissionUN https://t.co/lFDzM0rLO7"
"28",2020-11-02,"AzerbaijanMFA","Foreign Minister @Bayramov_Jeyhun received a delegation led by the Secretary General of the Cooperation Council of Turkic Speaking States @TurkicCouncil Baghdad Amreyev.

Read more https://t.co/kFSlosf2Jn https://t.co/DV4IVjXCxV"
"29",2020-11-02,"AzerbaijanMFA","Victorious Armed Forces of Azerbaijan have liberated Chaprand, Haji Isagli and Gosha Bulag villages of Jabrayil, Dere Giletag and Boyuk Giletag villages of Zangilan, Ishigli, Muradkhanli and Milanli villages of Gubadli. Long live Azerbaijan’s Armed Forces! Karabakh is Azerbaijan!"
"30",2020-11-02,"AzerbaijanMFA","Shikharkh settlement, Gazyan and Gapanli villages of Tartar and Yenikend village of Goranboy are under heavy artillery attack by #Armenia's occupation forces.

#StopArmenianAggression
#StopAttackingCivilians"
"31",2020-10-31,"AzerbaijanMFA","URGENT! Armed forces of #Armenia are targeting residential areas in #Tartar and #Aghjabadi districts of #Azerbaijan. And this is after the appeal of the @OSCE Minsk Group co-chairs following the meeting in Geneva to respect humanitarian ceasefire!

#StopArmenianAggression"
"32",2020-10-30,"AzerbaijanMFA","Deeply saddened by the news of earthquake in #Izmir city of #Turkey. We are standing next to brotherly Turkey in these difficult times. Our prayers are with you!

#BirMilletİkiDevlet🇦🇿🇹🇷"
"33",2020-10-30,"AzerbaijanMFA","Both @Amnesty International &amp; @HRW have verified the use of banned weapons by #Armenia in attack on the city center of #Barda🇦🇿 on 28 Oct. It's a flagrant disregard for civilian life &amp; international law!

We call on the intl community to condemn this atrocity &amp; act of vandalism. https://t.co/APrxAN2tzg"
"34",2020-10-30,"AzerbaijanMFA","Armenia: Cluster Munitions Kill Civilians in Azerbaijan https://t.co/5dpicjwvad"
"35",2020-10-30,"AzerbaijanMFA","BREAKING: First confirmed use of cluster munitions by Armenia is cruel and reckless

Said @struthers_marie, Amnesty International’s Regional Director for Eastern Europe and Central Asia:

https://t.co/Y6pybGqhNn"
"36",2020-10-29,"AzerbaijanMFA","Press Release of the Turkic Council on Armenia’s attack on Barda city of Azerbaijan  https://t.co/t0OKxkP1VF https://t.co/EPJ00M61hu"
"37",2020-10-29,"AzerbaijanMFA","Deadliest attack by #Armenia on #civilians in #Azerbaijan

#StopKillingCivilians #NotATarget #StopArmenianAggression #PrayForBarda #WarCrimes https://t.co/0NmqZDbruT"
"38",2020-10-29,"AzerbaijanMFA","""Armenian armed forces target civilians using cluster munitions to inflict excessive casualties among peaceful population. These are yet another #warcrimes by #Armenia.""

Telephone conversation w/#EU High Rep for Foreign Affairs &amp; Security @JosepBorrellF 
https://t.co/DnYW18kOvP https://t.co/FjGCpDBiy6"
"39",2020-10-28,"AzerbaijanMFA","Grateful for the position of #Switzerland on supporting the territorial integrity of #Azerbaijan &amp; readiness of this country to play a role in the peaceful settlement of the conflict.

The telephone conversation with my counterpart @ignaziocassis🇨🇭
⬇️⬇️⬇️
https://t.co/5Px3MgqlF1 https://t.co/wh1HK120OC"
"40",2020-10-28,"AzerbaijanMFA","“#Armenia’s missile #attacks at the #Barda city situated far away from the conflict zone constitutes a #warcrime &amp; crime against humanity.”

The telephone conversation with the #UK Minister for European Neighborhood &amp; the Americas, @morton_wendy. 
⬇️⬇️⬇️
https://t.co/EUUeQhvnYh https://t.co/Dmp5ELeaPh"
"41",2020-10-28,"AzerbaijanMFA","""Called the @OSCE Minsk Group Co-Chairs 🇷🇺🇺🇸🇫🇷 to condemn the inhuman and treacherous acts against Azerbaijani population by the armed forces of #Armenia"".

More on the telephone conversations https://t.co/oUMHr0oD26 https://t.co/VGRKx3hbpA"
